station_name,lat,long,elevation
MacArthur Blvd at Telegraph Ave,37.8262863,-122.2651002,21.0
Autumn Parkway at Coleman Ave,37.3413348,-121.9031829,19.0
Auzerais Ave at Lincoln Ave,37.32096853145443,-121.9082960486412,28.0
Detroit St at Hearst Ave,37.73065542923656,-122.4443047517252,67.0
Alemany Blvd at Francis St,37.7273951,-122.4354739,40.0
37th St at West St,37.82669558640968,-122.27179706096648,15.0
Alcatraz Ave at Shattuck Ave,37.849594967776646,-122.26556897163393,39.0
Broadway at Battery St,37.79857210846256,-122.40086898207666,18.0
Emeryville Public Market,37.84052116694969,-122.29352831840517,3.0
Channing Way at San Pablo Ave,37.86281710670802,-122.2902952903697,19.0
19th Street BART,37.80936861213485,-122.26795077323914,5.0
Balboa Park BART,37.7228179,-122.4472364,64.0
Russia Ave at Madrid St,37.720038,-122.433823,76.0
Delancey St at Brannan St,37.78384421884662,-122.390002088434,9.0
San Fernando St at 7th St,37.3371223728942,-121.88321471214294,26.0
Ashton Ave at Holloway Ave,37.72161,-122.462331,86.0
Daly City BART,37.707828,-122.468037,82.0
Indiana St at Cesar Chavez St,37.7504343570623,-122.39044725894928,5.0
Parkmoor Ave at Race St,37.31673647849343,-121.91000461578368,35.0
Font Blvd at Arballo Dr,37.722001,-122.482735,32.0
Stanford Ave at Hollis St,37.8384435,-122.2886647,6.0
Isabella St at San Pablo Ave,37.81498823042416,-122.2748440504074,7.0
Evans Ave at Newhall St,37.74207523594424,-122.38660231232642,3.0
Pine St at Market St,37.79245887188364,-122.39792529360024,63.0
Goettingen St at Bacon St,37.72694296622841,-122.40659952163696,26.0
1st St at Younger Ave,37.3550295822529,-121.90443634986876,19.0
O'Farrell St at Divisadero St,37.7824046019341,-122.43944585323337,51.0
Mercado Way at Sierra Rd,37.37111641335901,-121.88133180141448,24.0
17th St at Santa Clara St,37.34398467798214,-121.87438488006592,24.0
University Ave at Oxford St,37.8723555,-122.2664467,69.0
